Titre,Entreprise,Description,Niveau d'étude,Expérience,Contrat,Lieu,Compétences,Lien
Cloud Computing and Virtualization Engineer (M/F),AFRICASHORE,"We are looking for  Cloud Computing and Virtualization Engineer profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Must be able to work independently and take ownership. Work proactively and should be result oriented. Discuss with customer to understand the project requirement and suggest industry level Cloud solutions. Design and develop best fit Cloud solutions architecture, Network architecture and evaluate architectural alternatives. Provide technical support for Cloud architecture design, deployment and maintenance. Design secure, scalable and HA / DR strategies on Cloud technologies. Analyse and resolve...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AZURE - CVS - DOCKER - LINUX,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-computing-virtualization-engineer-mf-1386363
Cloud Engineer (M/F),AFRICASHORE,We are looking for  Cloud Engineer   profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Implement IAM policies and configure VPCs to create a scalable and secure Network for the application workloads. Develop and manage AWS development and migration programs. Build Data Integration scripts using Python to integrate with upstream/downstream systems (within AWS Cloud Services ecosystem). Develop application code for programs while following coding standards.  Resolve queries/issues and provide Application/functional support. Recommend changes to improve established Data Integration processes. Provides...,Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,API - ARM - BGP - CVS - IAM - PUPPET - PYTHON - RDS - REST,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-engineer-mf-1386364
Cloud Microservices Architect (M/F),AFRICASHORE,"We are looking for  Cloud Microservices Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Design, build, and maintain Cloud environments focusing on uptime, access, control, and Network security using automation and configuration management tools. Guide the definition of best practices in collaboration with other areas of engineering group. Research and provide guidance on adoption of new technologies. Provide guidance to Product Managers on feasibility pf product requests. You will be creating, recreating, rewriting and refactor applications. You will be working on Cloud-based application development...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ACCESS - AGILE - AZURE - CVS - DOCKER,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-microservices-architect-mf-1386365
Cloud System Administrator (M/F),AFRICASHORE,"We are looking for  Cloud System Administrator profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Installing, configuring and maintain softwares, servers (on premise / Cloud), Networks and firewalls . Overseeing/troubleshoot system performance, troubleshooting issues and outages Creating a backup and safeguarding the data(on premise / Cloud) if there are any hindrances Performing system upgrades following new releases. Ensuring/Sustaining Network integrity, server deployment, security and efficiency of IT infrastructure . Monitoring and maintaining Network servers such as file servers, VPN gateways and intrusion detection systems...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AZURE - CENTOS - CVS - DOCKER - LINUX - PERL - PREMISE - PYTHON - REDHAT - VPN - WAN,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-system-administrator-mf-1386366
Cloud System Integrator (M/F),AFRICASHORE,We are looking for Cloud System Integrator profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Create future-proof system architectures for our highly interconnected 4G/5G communication solutions. Define competitive end-to-end solutions together with top experts from different teams in an international environment. Demonstrate strong understanding of Networking and security architectures and engage in technical discussions with Network and security architects of large enterprises. Present both industry and Zscaler technical architecture as it relates to customers and prospects environment and technical requirements. Ensure that our solutions fit smoothly...,Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - CVS,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-system-integrator-mf-1386367
Cyber Security Engineer (M/F),AFRICASHORE,We are looking for Cyber Security Engineer profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Act as an internal subject matter expert with respect to CVA scanning and reporting. Assist in maintenance of the enterprise to VMLC (Vulnerability Management Life Cycle) policy and associated VM standard. Conduct required tasks for the vulnerability scanning program and publish reported vulnerabilities to impacted teams for remediation. Triage and risk rank vulnerabilities according to severity and exposure. Work with Product and IT teams to risk rank and patch vulnerabilities related to the technology stack. Develop remediation plans for vulnerabilities....,Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,CVS - ENDPOINT - IDEAL - JAVASCRIPT - PYTHON - VM,https://www.emploi.ci/offre-emploi-cote-ivoire/cyber-security-engineer-mf-1386368
DATASTAGE Architect (M/F),AFRICASHORE,"We are looking for DATASTAGE Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Define and supervise all activities within your scope by using and optimising the resources allocated. Control the implementation of the activities under your responsibility and report on the results. Responsible for the level of service quality, compliance with standards and the level of safety within the assigned perimeter. Supervise and monitor of assigned projects (monitoring of workloads, definition of deadlines and delivery milestones, identification of deliverables and work to be carried out, task planning, monitoring of work, management of corrective measures,...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AZURE - CVS - DATASTAGE - INFORMATICA - J2EE - JAVA - MONGODB - ORACLE - SQL - TALEND,https://www.emploi.ci/offre-emploi-cote-ivoire/datastage-architect-mf-1386369
GENESYS Architect (M/F),AFRICASHORE,"We are looking for GENESYS Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Deep and relevant expertise on Genesis Cloud services, along with contact center industry experience. Be the direct point of technical contact to provide high-quality consultancy for Genesys solutions to customers. Develop and maintain integration and Cloud solutions. Knowledge and experience on Cloud computing models (IaaS, PaaS, and SaaS). Experience with software development and one or more development or scripting languages (e.g. Java. Golang, Python, JavaScript, TypeScript, Bash, PowerShell). Self-starter with deep hands-on work experience with production...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,BASH - CVS - GENESYS - JAVA - JAVASCRIPT - PAAS - POWERSHELL - PYTHON - VMWARE,https://www.emploi.ci/offre-emploi-cote-ivoire/genesys-architect-mf-1386370
Network Architect (M/F),AFRICASHORE,We are looking for Network Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Deliver Core Backbone Network Designs in alignment with industry best practices. Deliver Customer Network Designs in alignment with industry best practices. Support and Alignment with Internal Teams. Contributor to Automation Stakeholders to deliver speed and accuracy for the enablement of new services. Perform Core Network Changes. Manage technical Network solutions and framework of [24]7 Network infrastructure. Perform Network troubleshooting to isolate and diagnose common Network problems. Upgrade Network hardware and software components as required...,Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,BGP - CISCO - CVS - DHCP - DNS - ETHERNET - JUNIPER - MPLS - PYTHON - SNMP - TCP IP - WAN,https://www.emploi.ci/offre-emploi-cote-ivoire/network-architect-mf-1386371
DBA IMS/DB2 Z/OS(H/F),AFRICASHORE,"Nous recherchons des profils / CV de DBA IMS/DB2 Z/OS (H/F) pour les transmettre à nos clients dans le cadre de leurs futures campagnes de recrutement.   Mission :   Assistance au développement technique Z/OS. Maintenance des projets, support aux analystes Z. Mise en œuvre opérationnelle des projets de développement. Assurer le maintien en conditions opérationnelles. Réaliser la maintenance (mise à jour de versions, patchs management). Construction de nouveaux socles techniques. Traitement et incidents de niveau 3. Suivi et analyse des performances.",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ASSEMBLEUR - COBOL - DB2 - FORTRAN - ISPF - JCL - SAS - SDSF - TCP IP - TSO - TWS - VSAM,https://www.emploi.ci/offre-emploi-cote-ivoire/dba-imsdb2-zoshf-1386372
Z/OS System Engineer Senior Storage(H/F),AFRICASHORE,"Nous recherchons des profils / CV de Z/OS System Engineer Senior Storage (H/F) pour les transmettre à nos clients dans le cadre de leurs futures campagnes de recrutement. Mission :   Mise en œuvre, suivi et gestion technique opérationnelle des opérations, Enrichissement et rechargement des environnements Mainframe z/OS d’homologation et de répétition de bascules. Définition des partitions (création du socle, SGBD, middlewares transactionnels et flux, service techniques, sécurité), clonage et alimentation de données, interopération avec les environnements mainframe et distribués (non mainframe)....",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,CICS - DB2 - IBM - JCL - MVS - TSO - VSAM - ZOS,https://www.emploi.ci/offre-emploi-cote-ivoire/zos-system-engineer-senior-storagehf-1386373
Ingénieur Système Z/OS Middleware (H/F),AFRICASHORE,"Nous recherchons des profils / CV de Ingénieur Système Z/OS Middleware (H/F ) pour les transmettre à nos clients dans le cadre de leurs futures campagnes de recrutement.   Mission :   Ingénieur système Z/OS expérimenté, être capable d'installer, de paramétrer, d'activer et d'exécuter tant l'investigation et la résolution des problèmes des produits habituellement utilisés dans un environnement z/OS. Equipe en charge de la gestion d'un environnement mainframe (HW / SW) incluant la sécurité associée (RACF), le stockage (DASD, Tape, B&R, DRP), la conformité, la mé...",Non spécifié,Non spécifié,"CDI, CDD - Freelance",Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ASSEMBLEUR - COBOL - JAVA - LDAP - NETVIEW - TCP IP - TWS - VTAM,https://www.emploi.ci/offre-emploi-cote-ivoire/ingenieur-systeme-zos-middleware-hf-1386374
Consultant SAP ABAP (H/F),AFRICASHORE,"Nous recherchons un Consultant SAP ABAP (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Assurer la liaison avec les équipes de livraison pour aider à développer l'activité autour des caractéristiques techniques à venir, conformément à la stratégie et aux objectifs de l'organisation. Participation aux phases de conception et réalisation des développements. Mentorat des membres juniors de l'équipe ABAP ou de l'équipe technique au sein de l'organisation. Vous êtes en charge de la construction d'actifs et d'accélé...",Non spécifié,Non spécifié,CDI - Freelance,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ABAP - SAP,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-abap-hf-1417099
Consultant SAP FI-CO/PS (H/F),AFRICASHORE,"Nous recherchons un Consultant SAP FI-CO/PS (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Concevoir, mettre en œuvre, déployer et soutenir les solutions financières SAP pour la finance, la comptabilité, le contrôle des coûts et le contrôle de gestion. Maintenir les compétences dans la conception et la configuration des processus des applications SAP ; la conception, le développement, l'intégration, les tests et le déploiement des applications SAP ; et l'architecture technique des applications SAP. Comprendre les exigences de l'entreprise afin de...",Non spécifié,Non spécifié,CDI - Freelance,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,SAP,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-fi-cops-hf-1417100
Consultant SAP EHS (H/F),AFRICASHORE,"Nous recherchons un Consultant SAP EHS (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Définir le champ d'application et les priorités opérationnelles pour les changements à petite échelle et peut participer à des exercices de définition du champ d'application à plus grande échelle. Spécifier et documenter les exigences opérationnelles selon les instructions, en assurant la traçabilité jusqu'à la source. Les analysées pour s'assurer qu'elles correspondent aux objectifs de l'entreprise et qu'elles sont cohérentes...",Non spécifié,Non spécifié,CDI - Freelance,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,REACH - SAP,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-ehs-hf-1417101
Consultant SAP Senior (H/F),AFRICASHORE,"Nous recherchons un Consultant SAP Sénior (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Participer aux études préalables et à l'élaboration des cahiers des charges. Mener de bout en bout les enrichissements/projets validés au carnet de travail Logistique SAP Achats, Stocks voire Production Planning (conception, paramétrage, réalisation, tests, conduite du changement, formation, support post go-live…) avec un fort engagement de résultat et une forte interaction avec les correspondants métiers. Participer au développement et au...",Non spécifié,Non spécifié,CDI - Freelance,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,ABAP - SAP,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-senior-hf-1417102
Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F),AFRICASHORE,"Nous recherchons un Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Accompagner et soutenir nos utilisateurs sur leurs activités et problématiques quotidiennes en étant force de proposition pour l’amélioration continue de la solution. Mener de bout en bout les enrichissements/projets validés au carnet de travail Logistique SAP Achats, Stocks voire Production Planning (conception, paramétrage, réalisation, tests, conduite du changement, formation, support post go-live…) avec un fort engagement de résultat et une forte...",Non spécifié,Non spécifié,CDI - Freelance,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,SAP,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-mmsdewmppqmcar-hf-1417103
Lead Développeur Java JEE (H/F),AFRICASHORE,"Nous recherchons un Lead Développeur Java JEE (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Poste & Mission :   Intégré-e dans la Direction R&D au sein du service d’Architecture Technique des équipes de Développement, en charge de domaines techniques précis, votre périmètre comprend.   Conception et développements techniques sur des technologies java/JEE ; Evolution et maintenance du Framework du progiciel ; Instruction et débogage des problèmes techniques avancés ; Participation au chiffrage et à la conception...",Non spécifié,Non spécifié,CDI - Freelance,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,AGILE - CSS - ECLIPSE - HIBERNATE - HTML - JAVA - JAVA JEE - JAVASCRIPT - JENKINS - JUNIT - MAVEN - SPRING - UML,https://www.emploi.ci/offre-emploi-cote-ivoire/lead-developpeur-java-jee-hf-1417104
Assistante de Direction - Abidjan Riviera Bonoumin,KAMIIRI,"Le dirigeant est à la tête d’un groupe diversifié, actif dans plusieurs secteurs : Nettoyage professionnel : Prestations de propreté pour entreprises et particuliers. Communication : Une agence spécialisée dans le marketing et les stratégies de marque. Retail : Gestion et développement de plusieurs magasins. Nous sommes à la recherche d'une  Assistante de Direction. Dans ce contexte dynamique, l’assistante jouera un rôle clé pour assurer la fluidité des activités et accompagner le dirigeant dans sa gestion multi-sectorielle. Missions principales : Gestion administrative et organisationnelle : Gérer l’agenda et coordonner ses déplacements entre les différentes activités. Assurer le...",Non spécifié,Non spécifié,CDI,Abidjan,Archivage - Assistanat - Communication - CRM - Gestion Administrative - Marketing - POWERPOINT - Secrétariat - Support - Vente - WORD,https://www.emploi.ci/offre-emploi-cote-ivoire/assistante-direction-abidjan-riviera-bonoumin-1502824
Techniciens de Nettoyage - Abidjan Et Banlieue,CLINIMMO,"Nous sommes à la recherche des  Techniciens de Nettoyage. Missions : Entretien des locaux: Nettoyage des sols, des surfaces, des sanitaires, des vitres, etc. Utilisation de matériel spécifique: Aspirateurs, machines à nettoyer les sols, produits d'entretien professionnels. Respect des normes d'hygiène et de sécurité: Application des protocoles de nettoyage, port des équipements de protection individuelle. Gestion des déchets: Tri sélectif, évacuation des déchets. Travaux complémentaires: Désinfection, décapage, lustrage.",Non spécifié,Non spécifié,CDI & CDD,Abidjan,Entretien - Nettoyage,https://www.emploi.ci/offre-emploi-cote-ivoire/techniciens-nettoyage-abidjan-banlieue-1498019
Assistant(e) Meal - Daloa,SAVE THE CHILDREN INTERNATIONAL,"L’Assistant (e ) MEAL, a pour responsabilité d’assister le MEAL Coordinator du projet CACAO dans la mise en œuvre des activités MEAL du projet CACAO au niveau des zones intervention du projet. Il /Elle doit contribuer de façon efficace à la collecte des données, au suivi des activités du projet CACAO, à la formulation des résultats des leçons apprises et de bonnes pratiques en vue du développement du projet. Il /Elle sera en outre chargé (e ) de la mise en œuvre et de la collecte des données en rapport avec les aspects de redevabilité aussi bien au sein du projet qu’au sein des sociétés coopératives et des communautés.  Il/Elle devra également démontrer des compétences significatives en...",Non spécifié,Non spécifié,CDD,Daloa,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/assistante-meal-daloa-1497482
Commercial Terrain - Abidjan,SULFUR SARL,"Nous recherchons un(e) Commercial(e) Terrain dynamique et motivé(e) pour rejoindre notre équipe et promouvoir nos produits agroalimentaires. Missions : Vous serez responsable de développer notre portefeuille clients, d’augmenter nos ventes et de renforcer notre présence sur le marché. Prospecter de nouveaux clients et développer des relations solides avec les clients existants. Présenter et promouvoir nos produits auprès des détaillants, grossistes et autres partenaires commerciaux. Analyser les besoins des clients et proposer des solutions adaptées. Atteindre et dépasser les objectifs de vente fixés par la direction. Si vous êtes passionné(e) par la vente et que vous souhaitez contribuer à la croissance de...",Non spécifié,Non spécifié,"CDI, CDD & Stage",Abidjan,Communication - Communication de Produit - Gestion de la Force de Vente - Négociation - Négociation Commerciale - Service Après-Vente - Techniques de Vente - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-terrain-abidjan-1498855
Stagiaire Commercial - Abidjan,KLEM IVOIRE SERVICE SARL,Nous sommes à la recherche des  Stagiaires Commerciaux. Mission : Prospecter de nouveaux clients pour l'entreprise en btob et btoc,Non spécifié,Non spécifié,Stage,Abidjan,Gestion Commerciale,https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-commercial-abidjan-1499040
Responsable de la Construction - Abidjan,THE HALO TRUST CI,"Nous sommes à la recherche d'un  Responsable de la Construction. Missions : Sous la supervision du Directeur mondial de la construction, vous serez responsable de l'évaluation, de la planification et de la supervision des travaux de construction dans le cadre du projet WAM de HALO Côte d'Ivoire. Le Responsable de la construction doit travailler avec les entrepreneurs chargés de l'exécution des travaux qu’il devra superviser directement ; il aura en charge la gestion des aspects liés à la santé et la sécurité, la qualité et les délais et le suivi de l'avancement des activités sur le site. Le candidat devra être à l'aise pour travailler dans des environnements stressants et de haute...",Non spécifié,Non spécifié,CDD,Abidjan,AUTOCAD - BTP - Construction,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-construction-abidjan-1500181
Stagiaire pour Validation DUT / BTS / Licence / Master - Abidjan,LA CONIERGERIE DJEMBEY,"Si vous venez d'obtenir votre diplôme et souhaitez compléter vos connaissances théoriques par un apprentissage pratique dans une environnement stimulant avec des challenges à relever ? Vous êtes au bon endroit. Dans le cadre de nos activités, nous recrutons des profils en quête de première expérience pour valider leurs diplômes et pourquoi pas continuer sur une longue et belle carrière chez nous. Missions : Vos missions au quotidien relèveront de votre formation initiale avec des missions support.",Non spécifié,Non spécifié,"Stage, Freelance, Alternance & Temps partiel",Abidjan & Bouaké,Actions Commerciales - Actions Marketing - Business Communication - Communication - Communication Digitale - Comptabilité - Conciergerie - Content Marketing - Contenu Web - CRM - Gestion - Gestion des Ressources Humaines - Infographie - Management - Marketing - Marketing des Ventes,https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-validation-dut-bts-licence-master-abidjan-1500039
Coordinateur de Travaux en Menuiserie Aluminium - Abidjan,DMO GROUPE,"Nous recrutons un Coordinateur de Travaux en Menuiserie Aluminium . Si vous avez au minimum un BTS en bâtiment, une solide expérience, et de très bonnes connaissances en  façades et menuiserie aluminium, ce poste est fait pour vous ! Missions principales : Superviser et coordonner les travaux de façade en menuiserie aluminium Assurer le respect des normes de qualité, de sécurité, et des délais Collaborer efficacement avec les équipes sur le terrain et gérer les problématiques techniques",Non spécifié,Non spécifié,CDD & Intérim,Abidjan,Menuiserie - Menuiserie Aluminium,https://www.emploi.ci/offre-emploi-cote-ivoire/coordinateur-travaux-menuiserie-aluminium-abidjan-1500042
